nohup: ignoring input
👁️  Worker2 Watchdog Started
============================================================
Check interval: 30s
Idle threshold: 120s
============================================================
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
⚠️  All workers idle with 371 ideas queued (30s idle)
⚠️  All workers idle with 371 ideas queued (60s idle)
⚠️  All workers idle with 371 ideas queued (90s idle)
⚠️  All workers idle with 371 ideas queued (120s idle)
🚨 Workers stuck idle for 120s - restarting!
🔄 Restarting worker2...
✅ Worker2 restarted
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
